city,Dallas,New York,Washington,Baltimore,Boston,Denver,Orlando,Miami,Chicago,Salt Lake City,Seattle,Houston,Las Vegas,Nashville,Cincinnati,Detroit,Pittsburgh
Dallas,0,1552.81,1327.58,1365.62,1758.93,794.16,1087.72,1302.54,951.43,1242.67,2100.88,238.08,1229.11,661.58,934.18,1169.58,1220.7
New York,1552.26,0,229.65,192.33,213.14,1788.53,1087.11,1281.81,798.92,2186.8,2851.18,1634.86,2537.23,890.26,645.1,626.48,374.9
Washington,1328.53,228.99,0,37.97,434.68,1646.04,857.95,1052.65,697.97,2085.85,2750.23,1411.13,2404.63,666.53,496.12,525.52,242.64
Baltimore,1365.61,193.4,38.34,0,399.09,1647.14,895.81,1090.51,699.07,2086.94,2751.32,1448.21,2405.73,703.61,497.22,526.62,243.74
Boston,1761.31,212.33,438.21,400.9,0,1981.88,1295.68,1490.38,992.27,2380.15,3044.53,1843.9,2730.58,1099.31,868.38,720.44,571.16
Denver,796.13,1788.96,1643.67,1648.01,1982.03,0,1838.61,2053.43,1003.82,525.27,1312.55,1028.73,761.44,1148.33,1182.33,1265,1436.57
Orlando,1088.31,1086.22,857.23,895.2,1291.91,1840.48,0,229.67,1154.77,2324.8,3085.17,972.37,2317.73,693.06,896.4,1155.66,973.7
Miami,1303.56,1281.67,1052.69,1090.65,1487.36,2055.73,229.22,0,1370.01,2540.05,3300.41,1187.61,2532.98,908.31,1111.65,1370.91,1169.16
Chicago,951.94,800.02,696.17,700.5,993.09,1004.1,1157.74,1372.57,0,1402.37,2055.72,1067.1,1752.8,467.46,288.18,277.28,461.93
Salt Lake City,1244.31,2187.97,2084.12,2088.45,2381.04,524.81,2327.13,2541.96,1402.83,0,831.81,1476.91,425.44,1636.85,1633.54,1664,1849.88
Seattle,2097.34,2847.01,2743.16,2747.49,3040.08,1307.17,3083.9,3298.72,2049.21,826.83,0,2329.94,1114.78,2393.62,2321.25,2324.27,2508.92
Houston,238.03,1636.07,1410.84,1448.88,1842.19,1029.86,972.43,1187.26,1066.92,1455.3,2336.58,0,1475.9,777.07,1049.67,1285.07,1336.2
Las Vegas,1230.28,2537.6,2402.15,2406.49,2730.67,761.01,2317.4,2532.22,1752.46,425.54,1120.29,1476.16,0,1801.51,1940.8,2013.63,2199.51
Nashville,661.95,891.53,666.3,704.33,1097.64,1149.12,691.96,906.78,467.72,1633.45,2393.81,777.1,1801.93,0,274.01,533.27,560.54
Cincinnati,936.17,647.21,495.44,499.77,870.16,1182.63,897.31,1112.14,288.24,1650.24,2340.96,1051.32,1941.22,275.41,0,259.25,288.34
Detroit,1168.99,627.41,523.56,527.9,720.53,1265.96,1155.77,1370.59,277.26,1664.23,2329.52,1284.14,2014.66,533.87,259.04,0,289.32
Pittsburgh,1221.79,376.17,240.7,245.04,571.74,1437.67,976.22,1170.92,461.82,1849.7,2514.08,1336.94,2200.14,561.04,287.75,289.38,0
